編號,行政區,廠商名稱〈市招〉,所屬單位,經營主體,市話,分機,行動電話,地址,經度,緯度,備註,
1,士林,407肌力訓練,私立,林華碩有限公司,,,0988299805,臺北市士林區中正路407號1樓,121.5184,25.0937,健身房,
2,士林,Barbell University 槓鈴學院,私立,本部槓鈴有限公司,(02)88666015,,,臺北市士林區福國路100之3號1樓,121.5193,25.1027,健身房,
3,士林,BOSS 健身工作室,私立,伯斯健身工作室,(02)28344000,,,臺北市士林區雨農路19號1樓,121.5296,25.0979,健身房,
4,士林,Coffit 健身咖,私立,鴻泊健身有限公司,(02)28313186,,,臺北市士林區中山北路六段184號1樓,121.5226,25.1076,健身房,
5,士林,Curves 士林店,私立,荷聲健康促進有限公司,(02)28341248,,,臺北市士林區中山北路五段687號2樓之1,121.5246,25.0972,健身房,
6,士林,Curves 天母店,私立,台灣威凌克股份有限公司可爾絲天母一號分公司,(02)28766108,,,臺北市士林區天母西路3號3樓之11,121.5268,25.1185,健身房,
7,士林,Curves 社子延北店,私立,菲妮斯有限公司,(02)28133066,,,臺北市士林區延平北路五段307號2樓,121.5066,25.0862,健身房,
8,士林,Curves 芝山文林店,私立,思伯有限公司,(02)28370020,,,臺北市士林區文林路762號2樓,121.5172,25.1035,健身房,
9,士林,Curves 劍潭店,私立,駱希有限公司 ,(02)28816108,,,臺北市士林區承德路四段191號2樓,121.5196,25.0881,健身房,
10,士林,FIT ZONE BY WORLD GYM 台北天母店,私立,香港商世界健身事業有限公司飛動天母分公司 ,(02)28715333,,,臺北市士林區中山北路七段73號1樓,121.5016,25.0881,健身房,
11,士林,Fun Fitness 運動旅程士林館,私立,瘋旅程有限公司,(02)66173168,,,臺北市士林區中山北路五段519號2樓,121.5252,25.0939,健身房,
12,士林,POWER FIT運動工作室,私立,波爾管理顧問有限公司,(02)28836680,,,臺北市士林區大北路72號1樓,121.5226,25.0901,健身房,
13,士林,PQ FITNESS,私立,春沐錦有限公司,(02)28311138,,,臺北市士林區忠誠路一段60號地下一樓,121.5246,25.1047,健身房,
14,士林,Refine Fitness 純淬健身士林店,私立,伊登健身有限公司,(02)28348058,,,臺北市士林區中正路122號地下1樓,121.5261,25.0960,健身房,
15,士林,sodafit,私立,健美蘇打股份有限公司,,,0987669769,臺北市士林區中山北路五段620號1樓,121.5278,25.0966,健身房,
16,士林,Surmount運動空間士林店,私立,巧翊體適能館,(02)28311891   ,,,臺北市士林區中正路188號2樓,121.5271,25.0957,健身房,
17,士林,Surmount運動空間天母店,私立,華翊體適能館,(02)28311891,,,臺北市士林區忠誠路一段30號1樓,121.5261,25.1044,健身房,
18,士林,SWeet慢走體適能,私立,慢走有限公司,(02)28386603,,,臺北市士林區中山北路六段284號1樓,121.5256,25.1101,健身房,
19,士林,曼時光工作室,私立,曼時光工作室,(02)28815520,,,臺北市士林區文林路205號3樓,121.5269,25.0901,健身房,
21,士林,V LINE FITNESS,私立,薇薺有限公司,(02)66050695,,,臺北市⼠林區中正路187巷2號1樓,121.4961,25.0335,健身房,
22,士林,wellgym,私立,旭昇健康有限公司,(02)28722127,,,臺北市士林區天母東路50巷8號1樓,121.5333,25.1177,健身房,
23,士林,World Gym 健身俱樂部天母店,私立,香港商世界健身事業有限公司天母分公司,(02)28755050,,,臺北市士林區中山北路七段34號,121.5311,25.1199,健身房,
24,士林,World Gym 健身俱樂部台北天母德行店,私立,香港商世界健身事業有限公司天母德行分公司,(02)28358880,,,臺北市士林區德行東路331巷35號,121.5378,25.1117,健身房,
25,士林,士林運動中心,體育局,臺北市士林運動中心,(02)28806066,,,臺北市士林區士商路1號,121.5213,25.0893,健身房,
26,士林,天母國際聯誼會,私立,嘉德開發股份有限公司,(02)28339696,,,臺北市士林區中山北路六段88號,121.5249,25.1049,健身房,
27,士林,動動 MoveMove,私立,動動股份有限公司,(02)28752289,,,臺北市士林區士東路91巷36號1樓,121.5297,25.1134,健身房,
28,士林,楷穎個人健身教室,私立,楷穎運動國際有限公司,,,0939263192,臺北市士林區中山北路七段156之1號1樓,121.5327,25.1238,健身房,
29,士林,Bounce8 運動舞蹈教室,私立,希懿運動舞蹈社,,,0916877119,臺北市士林區天母東路8巷80號1樓,121.5305,25.1150,健身房,
30,士林,A FITNESS 改變健身工作室,私立,傑頡森運動有限公司,(02)28801314,,,臺北市士林區基河路138號1樓,121.5222,25.0891,健身房,
31,大同,Curves 捷運中山店,私立,佳佰曆國際有限公司,(02)25553149,,,臺北市大同區承德路一段771號2樓,121.5177,25.0532,健身房,
32,大同,Curves 圓山花博店,私立,晴天有限公司,(02)25997138,,,臺北市大同區承德路三段223之1號1樓,121.5186,25.0701,健身房,
33,大同,PULSE Gym 台北中山店,私立,嘉和智能科技股份有限公司,(02)25522892,,,臺北市大同區南京西路30號2樓,121.5198,25.0526,健身房,
34,大同,Sky Fitness,私立,動能學堂有限公司,(02)25950953,,,臺北市大同區承德路三段9之1號1樓,121.5186,25.0636,健身房,
35,大同,World Gym 健身俱樂台北寧夏店,私立,香港商世界健身事業有限公司台北寧夏分公司,(02)25550066,,,臺北市大同區寧夏路11號,121.5150,25.0547,健身房,
36,大同,World Gym 健身俱樂部台北民權西店,私立,香港商世界健身事業有限公司台北民權西分公司 ,(02)25992555,,,臺北市大同區民權西路136號1樓,121.5164,25.0627,健身房,
37,大同,大同運動中心,體育局,舞動陽光有限公司大同分公司,(02)25920055,,,臺北市大同區大龍街51號,121.5135,25.0648,健身房,
38,大同,好習慣運動教室 台北京站店,私立,好習慣健康企業有限公司京站分公司,(02)25559007,,,臺北市大同區長安西路152號1樓,121.5165,25.0508,健身房,
39,大同,自由重量,私立,宸光體適能有限公司,(02)25562056,,,臺北市大同區鄭州路119號地下1樓,121.5109,25.0503,健身房,
40,大同,桑富士運動俱樂部,私立,桑富士股份有限公司,(02)25527579,,,臺北市大同區平陽街29號1樓,121.5169,25.0551,健身房,
41,大同,統一健身俱樂部台北京站館,私立,統一佳佳股份有限公司京站分公司,(02)25588148,,,臺北市大同區重慶北路一段1之1號1樓,121.5139,25.0494,健身房,
42,大同,玉泉公園游泳池附設健身房,體育局,星哲企業股份有限公司圓山分公司,(02)25509828,,,臺北市大同區西寧北路28號,121.5077,25.0498,健身房,
43,大同,GroupFitness 好團健身空間圓山館,私立,杜驍健康有限公司,(02)25637916,,,臺北市大同區承德路三段244號1樓,121.5186,25.0727,健身房,
44,大同,Plan A Fitness,私立,鏷苒安有限公司,(02)25956669,,,臺北市大同區承德路三段25號2樓,121.5185,25.0640,健身房,
45,大同,1M3沂立方健身顧問中心,私立,褐令巴特股份有限公司,,,0979000257,臺北市中山區長安東路一段13號2樓,121.5226,25.0497,健身房,
46,大安,Anytime Fitness 台北信義安和店,私立,愛美態健康管理顧問股份有限公司,(02)27032803,,,臺北市大安區信義路四段279號地下1樓之1,121.5548,25.0333,健身房,
47,大安,Axis Fitness 亞西斯VIP私人健身會館,私立,亞西斯運動健康顧問有限公司,(02)27711717,,,臺北市大安區忠孝東路三段249之1號2樓,121.5415,25.0418,健身房,
48,大安,BEREN FIT,私立,畢人體能有限公司,,,0915010222,臺北市大安區信義路四段199巷32號1樓,121.5515,25.0353,健身房,
49,大安,Beyond Fitness 忠孝店,私立,超越體能顧問有限公司忠孝門市,(02)27769932,,,臺北市大安區大安路一段75巷21號1樓,121.5475,25.0422,健身房,
50,大安,Beyond Fitness 東門店,私立,超越體能顧問有限公司,(02)23960776,,,臺北市大安區信義路二段28號1樓,121.5253,25.0347,健身房,
51,大安,Beyond Fitness Enhanced 信義安和店,私立,超越體能顧問有限公司信義安和門市,(02)27200530,,,臺北市大安區安和路二段81號地下1樓,121.5521,25.0300,健身房,
52,大安,趣野外運動空間,私立,趣野外運動有限公司,(02)23629690,,,臺北市大安區羅斯福路三段297之4號3樓,121.5317,25.0176,健身房,
53,大安,Curves 大安店,私立,悅麗健康事業有限公司,(02)27000213,,,臺北市大安區信義路三段192號2樓,121.5429,25.0331,健身房,
54,大安,Curves 和平科技店,私立,三衡一樹健康事業有限公司,(02)27551581,,,臺北市大安區和平東路二段257號3樓,121.5437,25.0249,健身房,
55,大安,Curves 忠孝敦化店,私立,雍天盛國際有限公司,(02)27218828,,,臺北市大安區忠孝東路四段250號2樓之3,121.5542,25.0412,健身房,
56,大安,Curves 信義永康店,私立,佳仕旺國際有限公司,(02)33222610,,,臺北市大安區信義路二段222號2樓,121.5313,25.0334,健身房,
57,大安,Curves 信義通化店,私立,達文西育樂有限公司,(02)27043470,,,臺北市大安區信義路四段263號3樓之1,121.5539,25.0333,健身房,
58,大安,DR.GYM 運動醫療訓練中心新生店,私立,達康勁健康事業股份有限公司,(02)27550007,,,臺北市大安區新生南路一段155號地下1樓,121.5329,25.0351,健身房,
59,大安,Ray's Fitness艾瑞斯健身工作室,私立,艾瑞斯健身工作室,(02)87710868,,,臺北市大安區忠孝東路四段54號4樓,121.5450,25.0414,健身房,
60,大安,F45 Training 大安店,私立,億勁達股份有限公司,(02)33669997 ,,,臺北市大安區建國南路一段163號1樓,121.5377,25.0410,健身房,
